"App","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Genres","Last.Updated","Current.Ver","Android.Ver","Last.Updated..Year.","Last.Updated..Year.Month.","Category..categorical.","Type..categorical.","Genres..categorical.","Current.Ver..categorical.","Android.Ver..categorical.","Last.Updated..Year.Month...categorical.","No_reviews_count","Reviews_present_count","Rating_Q","Installs_D"
"Microsoft To-Do: List, Task & Reminder",25,4.1,14432,16,1e+06,0,0,0,81,"2018-07-31",583,20,2018,86,"PRODUCTIVITY","Free","Productivity","1.36.82","4.4 and up","2018-07",0,0,1,8
"Microsoft Translator",25,4.6,209696,49,5e+06,0,0,0,81,"2018-06-18",1662,19,2018,85,"PRODUCTIVITY","Free","Productivity","3.2.258b ae1da5165","4.3 and up","2018-06",0,0,3,9
"Mind Map AR, Augmented Reality ARCore Mind Mapping",25,4.2,29,35,5000,0,0,0,81,"2018-07-26",493,29,2018,86,"PRODUCTIVITY","Free","Productivity","1.23","7.0 and up","2018-07",0,0,2,2
"Mix Tank – Tank Mixing Ag App",25,3.6,64,15,10000,0,0,0,81,"2017-10-16",1974,20,2017,77,"PRODUCTIVITY","Free","Productivity","4.2","4.4 and up","2017-10",0,0,0,3
"Mobile Security: Antivirus, Web Scan & App Lock",25,4.4,574719,20,1e+07,0,0,0,81,"2018-07-16",2154,17,2018,86,"PRODUCTIVITY","Free","Productivity","5.0.0.1442","4.1 and up","2018-07",0,0,2,9
"Muj T-Mobile Business",25,3.7,10490,5.8,1e+06,0,0,0,81,"2018-07-24",1608,17,2018,86,"PRODUCTIVITY","Free","Productivity","3.1.7","4.1 and up","2018-07",0,0,0,8
"Multiling O Keyboard + emoji",25,4.3,30443,0.54,1e+06,0,0,0,81,"2018-07-03",68,5,2018,86,"PRODUCTIVITY","Free","Productivity","0.54.2.4","2.1 and up","2018-07",0,0,2,8
"MultiMessage for FB Messenger",25,4.2,182,7,50000,0,0,0,81,"2018-04-28",139,18,2018,83,"PRODUCTIVITY","Free","Productivity","1.0.1","4.2 and up","2018-04",0,0,2,4
"My C Spire",25,4.1,376,32,50000,0,0,0,81,"2018-07-23",1167,20,2018,86,"PRODUCTIVITY","Free","Productivity","2.15.1","4.4 and up","2018-07",0,0,1,4
"My Claro Peru",25,3.2,11200,11,5e+06,0,0,0,81,"2018-07-23",1588,20,2018,86,"PRODUCTIVITY","Free","Productivity","3.1.1","4.4 and up","2018-07",0,0,0,9
"My CU - Caucasus University",25,4.6,48,7.3,1000,0,0,0,81,"2017-11-22",455,17,2017,78,"PRODUCTIVITY","Free","Productivity","1.2.3","4.1 and up","2017-11",0,0,3,2
"My Effectiveness: To do, Tasks",25,4.6,14089,8.4,5e+05,0,0,0,81,"2018-08-05",46,17,2018,87,"PRODUCTIVITY","Free","Productivity","0.21.1","4.1 and up","2018-08",0,0,3,6
"myGrow",25,4.6,84,23,1000,1,4.29,1.5,81,"2016-04-29",1287,12,2016,59,"PRODUCTIVITY","Paid","Productivity","2.3.9","3.2 and up","2016-04",0,0,3,2
"MyMTN",25,4,8550,15,1e+06,0,0,0,81,"2018-07-25",1118,13,2018,86,"PRODUCTIVITY","Free","Productivity","2.1.5","4.0 and up","2018-07",0,0,1,8
"N Files - File Manager & Explorer",25,4.3,369,11,10000,0,0,0,81,"2018-07-18",1453,17,2018,86,"PRODUCTIVITY","Free","Productivity","2.9.5","4.1 and up","2018-07",0,0,2,3
"New Calendar",25,4.5,25985,6.9,1e+06,0,0,0,81,"2018-07-20",161,15,2018,86,"PRODUCTIVITY","Free","Productivity","1.0.167","4.0.3 and up","2018-07",0,0,3,8
"New Holland Agriculture T5 EC",25,4.6,12,15,1000,0,0,0,81,"2017-02-24",424,15,2017,69,"PRODUCTIVITY","Free","Productivity","1.2","4.0.3 and up","2017-02",0,0,3,2
"Notepad",25,4.2,80581,2.5,1e+07,0,0,0,81,"2016-10-16",1298,8,2016,65,"PRODUCTIVITY","Free","Productivity","2.4","2.3 and up","2016-10",0,0,2,9
"Notepad & To do list",25,4.3,226295,4.2,1e+07,0,0,0,81,"2018-06-06",2007,9,2018,85,"PRODUCTIVITY","Free","Productivity","4.3.19","2.3.3 and up","2018-06",0,0,2,9
"NoteToDo. Notes. To do list",25,4.5,57449,5,1e+06,0,0,0,81,"2018-08-04",445,13,2018,87,"PRODUCTIVITY","Free","Productivity","1.2.187-83","4.0 and up","2018-08",0,0,3,8
"Numbers Into Words",25,4.4,457,0.562,50000,0,0,0,81,"2014-05-06",424,5,2014,36,"PRODUCTIVITY","Free","Productivity","1.2","2.1 and up","2014-05",0,0,2,4
"Organizer",25,4.4,936,5.4,50000,1,2.99,0,81,"2018-06-17",1463,13,2018,85,"PRODUCTIVITY","Paid","Productivity","2.96","4.0 and up","2018-06",0,0,2,4
"Planner Pro-Personal Organizer",25,4,10270,8.4,1e+06,0,0,0,81,"2018-03-23",2025,13,2018,82,"PRODUCTIVITY","Free","Productivity","4.4.1","4.0 and up","2018-03",0,0,1,8
"Polaris Office - Word, Docs, Sheets, Slide, PDF",25,4.3,549900,60,1e+07,0,0,0,81,"2018-07-18",2534,17,2018,86,"PRODUCTIVITY","Free","Productivity","7.3.30","4.1 and up","2018-07",0,0,2,9
"Police Field Interview FI Card",25,4.5,112,2.4,1000,1,7.99,0,81,"2017-03-16",1522,15,2017,70,"PRODUCTIVITY","Paid","Productivity","3.0","4.0.3 and up","2017-03",0,0,3,2
"Power Booster - Junk Cleaner & CPU Cooler & Boost",25,4.5,9653,5.1,1e+06,0,0,0,81,"2018-08-06",466,17,2018,87,"PRODUCTIVITY","Free","Productivity","1.2.5","4.1 and up","2018-08",0,0,3,8
"Professional AV Solution & Products information",25,4.5,24,22,1000,0,0,0,81,"2017-07-12",1023,18,2017,74,"PRODUCTIVITY","Free","Productivity","2.0.1","4.2 and up","2017-07",0,0,3,2
"Puck AI Personal Assistant Robot",25,4.1,22,26,1000,0,0,0,81,"2017-11-02",641,15,2017,78,"PRODUCTIVITY","Free","Productivity","1.5","4.0.3 and up","2017-11",0,0,1,2
"Pushbullet - SMS on PC",25,4.5,176873,4.5,1e+06,0,0,0,81,"2017-10-30",977,17,2017,77,"PRODUCTIVITY","Free","Productivity","17.7.20","4.1 and up","2017-10",0,0,3,8
"Q Link Wireless Zone",25,4,2194,17,5e+05,0,0,0,81,"2018-03-08",1053,20,2018,82,"PRODUCTIVITY","Free","Productivity","2.0.4","4.4 and up","2018-03",0,0,1,6
"QR Code Pro",25,4.8,5865,15,1e+05,1,4.49,0,81,"2018-07-18",113,17,2018,86,"PRODUCTIVITY","Paid","Productivity","1.0","4.1 and up","2018-07",0,0,3,5
"QR Scanner & Barcode Scanner 2018",25,3.8,8226,4.1,1e+07,0,0,0,81,"2018-07-20",780,20,2018,86,"PRODUCTIVITY","Free","Productivity","1.8.4","4.4 and up","2018-07",0,0,0,9
"R-net for Android",25,3.3,48,0.058,5000,0,0,0,81,"2013-08-07",113,11,2013,27,"PRODUCTIVITY","Free","Productivity","1.0","3.1 and up","2013-08",0,0,0,2
"Ramfer - CNC Lathe G-code Tool",25,3.4,5,11,100,1,2.99,0,81,"2016-09-26",1013,12,2016,64,"PRODUCTIVITY","Paid","Productivity","2","3.2 and up","2016-09",0,0,0,0
"Remote Control For All AC - Universal Remote",25,2.4,166,6.1,10000,0,0,0,81,"2018-07-28",277,15,2018,86,"PRODUCTIVITY","Free","Productivity","1.1","4.0.3 and up","2018-07",0,0,0,3
"Resume & CV Creator by Desygner",25,4.5,48,26,5000,0,0,0,81,"2018-07-23",1143,25,2018,86,"PRODUCTIVITY","Free","Productivity","2.11.1","5.0 and up","2018-07",0,0,3,2
"Resume Builder and CV maker app",25,4.3,2303,15,1e+05,0,0,0,81,"2018-08-02",2639,15,2018,87,"PRODUCTIVITY","Free","Productivity","8.9.2.pro","4.0.3 and up","2018-08",0,0,2,5
"Resume Free",25,4.5,27820,4.7,1e+06,0,0,0,81,"2018-07-29",1088,9,2018,86,"PRODUCTIVITY","Free","Productivity","2.1","2.3.3 and up","2018-07",0,0,3,8
"S Note",25,4.1,12435,31,1e+07,0,0,0,81,"2017-09-26",2750,27,2017,76,"PRODUCTIVITY","Free","Productivity","Varies with device","6.0 and up","2017-09",0,0,1,9
"S’more - Earn Cash Rewards",25,4.1,15097,14,1e+06,0,0,0,81,"2018-07-23",690,18,2018,86,"PRODUCTIVITY","Free","Productivity","1.6.0","4.2 and up","2018-07",0,0,1,8
"Safe Notes - Secure Ad-free notepad",25,4.6,3362,0.756,50000,0,0,0,81,"2017-11-21",718,13,2017,78,"PRODUCTIVITY","Free","Productivity","1.7","4.0 and up","2017-11",0,0,3,4
"Safe Wi-Fi",25,2.9,32,9.7,1000,0,0,0,81,"2018-08-03",550,20,2018,87,"PRODUCTIVITY","Free","Productivity","1.3.22","4.4 and up","2018-08",0,0,0,2
"Sai Baba - Sabka Malik Ek",25,4.9,42,38,1000,0,0,0,81,"2018-05-26",592,13,2018,84,"PRODUCTIVITY","Free","Productivity","1.4","4.0 and up","2018-05",0,0,3,2
"SCS eC",25,4.4,7,17,100,0,0,0,81,"2016-10-21",139,17,2016,65,"PRODUCTIVITY","Free","Productivity","1.0.1","4.1 and up","2016-10",0,0,2,0
"Security & Privacy",25,4,212,10,1e+06,0,0,0,81,"2018-04-26",2167,17,2018,83,"PRODUCTIVITY","Free","Productivity","5.0.44","4.1 and up","2018-04",0,0,1,8
"SH Script Runner",25,3.9,334,3.7,50000,0,0,0,81,"2018-01-02",268,17,2018,80,"PRODUCTIVITY","Free","Productivity","1.07","4.1 and up","2018-01",0,0,0,4
"Simple EV Calc",25,4.2,105,72,1000,0,0,0,81,"2017-10-16",1211,20,2017,77,"PRODUCTIVITY","Free","Productivity","2.2.2","4.4 and up","2017-10",0,0,2,2
"Simple Notepad",25,4.3,12321,0.713,1e+06,0,0,0,81,"2016-12-25",1023,8,2016,67,"PRODUCTIVITY","Free","Productivity","2.0.1","2.3 and up","2016-12",0,0,2,8
"Smart File Manager",25,4.2,17415,4.1,1e+06,0,0,0,81,"2018-07-05",1776,13,2018,86,"PRODUCTIVITY","Free","Productivity","3.5.9","4.0 and up","2018-07",0,0,2,8
"Solar CT PV System Power",25,4.7,315,14,10000,0,0,0,81,"2018-01-22",2739,13,2018,80,"PRODUCTIVITY","Free","Productivity","SolarCT 1.9 v","4.0 and up","2018-01",0,0,3,3
"Solid Explorer Classic",25,4.5,49794,6.5,1e+06,0,0,0,81,"2017-06-17",736,8,2017,73,"PRODUCTIVITY","Free","Productivity","1.7.3","2.3 and up","2017-06",0,0,3,8
"Squid - Take Notes & Markup PDFs",25,4.2,37204,19,1e+06,0,0,0,81,"2018-07-21",1738,13,2018,86,"PRODUCTIVITY","Free","Productivity","3.4.4.4-GP","4.0 and up","2018-07",0,0,2,8
"Sticky Note + : Sync Notes",25,4.2,21507,6.6,1e+06,0,0,0,81,"2017-08-31",932,13,2017,75,"PRODUCTIVITY","Free","Productivity","13.4","4.0 and up","2017-08",0,0,2,8
"SugarSync",25,4.1,16420,3.8,1e+06,0,0,0,81,"2018-05-16",2024,9,2018,84,"PRODUCTIVITY","Free","Productivity","4.4.0.4","2.3.3 and up","2018-05",0,0,1,8
"T-Mobile Content Transfer",25,4.1,370,29,5e+05,0,0,0,81,"2018-01-25",1118,13,2018,80,"PRODUCTIVITY","Free","Productivity","2.1.5","4.0 and up","2018-01",0,0,1,6
"Tap N Pay",25,4.4,253,8.2,10000,0,0,0,81,"2018-07-31",25,17,2018,86,"PRODUCTIVITY","Free","Productivity","0.1.22","4.1 and up","2018-07",0,0,2,3
"The Maner",25,4.2,53015,2.2,5e+06,0,0,0,81,"2017-11-12",1211,8,2017,78,"PRODUCTIVITY","Free","Productivity","2.2.2","2.3 and up","2017-11",0,0,2,9
"Thistletown CI",25,1,1,6.6,100,0,0,0,81,"2018-03-15",2142,17,2018,82,"PRODUCTIVITY","Free","Productivity","41.9","4.1 and up","2018-03",0,0,0,0
"TIMBER AD FILTER - Very useful ad block app",25,3.8,1343,9,1e+05,0,0,0,81,"2018-03-12",185,25,2018,82,"PRODUCTIVITY","Free","Productivity","1.0.26","5.0 and up","2018-03",0,0,0,5
"Time Planner - Schedule, To-Do List, Time Tracker",25,4.2,2537,8.5,5e+05,0,0,0,81,"2018-01-10",1193,13,2018,80,"PRODUCTIVITY","Free","Productivity","2.2 (Protostar)","4.0 and up","2018-01",0,0,2,6
"To-do list",25,4.4,688,4.4,50000,0,0,0,81,"2018-07-17",1238,13,2018,86,"PRODUCTIVITY","Free","Productivity","2.22","4.0 and up","2018-07",0,0,2,4
"To-Do List Widget",25,3.9,7801,0.201,1e+06,0,0,0,81,"2013-09-28",1014,1,2013,28,"PRODUCTIVITY","Free","Productivity","2.0","1.5 and up","2013-09",0,0,0,8
"To Do List",25,4.7,253155,3.5,5e+06,0,0,0,81,"2018-03-19",1539,13,2018,82,"PRODUCTIVITY","Free","Productivity","3.0.17","4.0 and up","2018-03",0,0,3,9
"To Do Reminder with Alarm",25,4.4,72161,4.9,1e+06,0,0,0,81,"2018-03-21",1400,13,2018,82,"PRODUCTIVITY","Free","Productivity","2.68.14","4.0 and up","2018-03",0,0,2,8
"Today Calendar 2017",25,4.2,16349,9,1e+06,0,0,0,81,"2016-04-25",1915,17,2016,59,"PRODUCTIVITY","Free","Productivity","4.0.7.3","4.1 and up","2016-04",0,0,2,8
"Todoist: To-do lists for task management & errands",25,4.5,155999,12,1e+07,0,0,0,81,"2018-08-05",922,20,2018,87,"PRODUCTIVITY","Free","Productivity","12.8.2","4.4 and up","2018-08",0,0,3,9
"Total AV",25,3.4,617,46,1e+05,0,0,0,81,"2018-04-17",661,17,2018,83,"PRODUCTIVITY","Free","Productivity","1.5.3","4.1 and up","2018-04",0,0,0,5
"Town of Princeton, BC",25,4.8,4,31,100,0,0,0,81,"2018-06-25",1711,13,2018,85,"PRODUCTIVITY","Free","Productivity","3.3.8","4.0 and up","2018-06",0,0,3,0
"Trello",25,4.5,72513,12,5e+06,0,0,0,81,"2018-07-18",2158,25,2018,86,"PRODUCTIVITY","Free","Productivity","5.0.1.11068-production","5.0 and up","2018-07",0,0,3,9
"Trimble Ag Mobile",25,4.1,85,44,10000,0,0,0,81,"2018-08-02",1414,17,2018,87,"PRODUCTIVITY","Free","Productivity","2.7.8","4.1 and up","2018-08",0,0,1,3
"Trimble DL",25,4.2,133,7.9,10000,0,0,0,81,"2018-01-12",171,18,2018,80,"PRODUCTIVITY","Free","Productivity","1.0.184","4.2 and up","2018-01",0,0,2,3
"Turbo AI™ - Personal assistant",25,2.6,91,2.8,5000,0,0,0,81,"2018-07-16",9,15,2018,86,"PRODUCTIVITY","Free","Productivity","0.0.52","4.0.3 and up","2018-07",0,0,0,2
"U Assist - Screen Mirroring & Sharing App",25,4,198,3.5,50000,0,0,0,81,"2017-01-26",1037,8,2017,68,"PRODUCTIVITY","Free","Productivity","2.0.16","2.3 and up","2017-01",0,0,1,4
"U+Box",25,3.8,24517,22,1e+07,0,0,0,81,"2018-05-23",1983,25,2018,84,"PRODUCTIVITY","Free","Productivity","4.2.17","5.0 and up","2018-05",0,0,0,9
"Ultimate Calculator for CR",25,3.7,7389,41,5e+05,0,0,0,81,"2017-03-15",201,13,2017,70,"PRODUCTIVITY","Free","Productivity","1.0.4","4.0 and up","2017-03",0,0,0,6
"Ultimate Chest Tracker",25,4.5,40328,23,1e+06,0,0,0,81,"2016-10-17",795,8,2016,65,"PRODUCTIVITY","Free","Productivity","1.9","2.3 and up","2016-10",0,0,3,8
"Unclouded - Cloud Manager",25,4.1,6850,11,1e+05,0,0,0,81,"2016-08-08",1279,17,2016,63,"PRODUCTIVITY","Free","Productivity","2.3.3-play","4.1 and up","2016-08",0,0,1,5
"WFVS 2018 | WhatApp Full Video Status & Downloader",25,4.3,596,22,50000,0,0,0,81,"2018-07-04",532,17,2018,86,"PRODUCTIVITY","Free","Productivity","1.3","4.1 and up","2018-07",0,0,2,4
"Wi-Fi Networks",25,4.2,115,1.4,10000,0,0,0,81,"2015-10-05",592,17,2015,53,"PRODUCTIVITY","Free","Productivity","1.4","4.1 and up","2015-10",0,0,2,3
"WiFi-o-Matic",25,4,736,6.8,50000,0,0,0,81,"2018-02-01",791,17,2018,81,"PRODUCTIVITY","Free","Productivity","1.80.03","4.1 and up","2018-02",0,0,1,4
